Driver_ID,Driver_Name,Vehicle_Plate,Vehicle_Type,Mobile_No,Line_User_ID,Password,Driver_Score,Current_Lat,Current_Lon,Last_Update,Current_Mileage,Next_Service_Mileage,Last_Service_Date,Insurance_Expiry,Role
ADMIN1,Admin_system,-,-,089-874-5668,-,DDST1234,-,,,,0,0,,,Admin
ADMIN2,สาขานวนคร,-,-,098-228-5130,-,DDST1234,-,,,,0,0,,,Admin
DD-001,เลิศศักดิ์,3ฒร-1289,4,081-111-2222,U12345678,1234,100,9.1062272,99.2673792,2025-12-06 8:53:40,10700,155000,,,Driver
DD-002,บุญชิต,70-5144,6,081-111-2222,U12345678,1234,100,9.1156191,99.2724846,2025-12-03 1:17:58,,,,,Driver
DD-003,บุุญช่วย,72-1109,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-004,ราเชน,71-4906,6,081-111-2222,U12345678,1234,100,,,,150,,,,Driver
DD-005,อนันตพงษ์,73-2650,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-006,สันติ,70-1570,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-007,ศุภกร,71-4233,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-008,เลิศศักดิ์,บล-4424,4,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-009,รถ OFFICE,บฉ-510,4,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-010,ธวัชชัย,68-9961,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-011,รถบริษัท,82-1125,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-012,ชนพิเชษฐ์,70-9984,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-013,รถบริษัท,70-9192,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-014,วิชิต,73-3953,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-015,พลรบ,72-3126,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-016,ชัยวัฒิ,3ฒว5400,4,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-017,สายันต์,70-2662,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-018,พลรบ,72-3126,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-019,ไสว,70-6701,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-020,รถบริษัท,71-0945,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-021,สุบรรณ,71-0252,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-022,วรรณโณ,71-1447,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-023,สัญญา,72-0126,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-024,ธวัชชัย,3ฒร-6404,4,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-025,การชัย,70-5949,10,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-026,เผ่า,70-8885,10,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-027,พิเชษศักดิ์,64-8978,6,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-028,วินัย,75-2208,10,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-029,มงคล,71-5855,10,081-111-2222,U12345678,1234,100,,,,,,,,Driver
DD-030,นิเวช,61-7180,10,081-111-2222,U12345678,1234,100,,,,,,,,Driver
